"input_place","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"room","room","house","home","kitchen","bedroom","place","school","office","hall","apartment"
"house","house","room","home","kitchen","place","living room","bedroom","school","street","driveway"
"home","home","house","room","kitchen","school","place","apartment","bedroom","office","street"
"kitchen","kitchen","house","room","home","living room","bedroom","apartment","place","school","office"
"place","place","room","house","home","apartment","kitchen","office","bedroom","school","street"
