AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_01103,Evans,E. Everett,,,,,,,,,1893,1958,American,M,,,,,,,,,,,MI
A_01104,Evans,Larry,,,,,,,,,,1925,American,M,,,,,,,,,,,"Saranac Lake, NY; Boundbrook, NJ"
A_01105,Evans,Mary Ann,,Eliot,George,,,,,,1819,1880,British,F,Caucasian,,,,,,,,,,"Nuneaton, West Midlands, UK; Coventry, West Midlands, UK; London, UK"
A_01106,Evans,Max,,,,,,,,,1924,,American,M,,,,,,,Mining Executive,,,,"Ropes, TX; Taos, NM "
A_01107,Evarts,Hal G.,,,,,,,,,1887,1934,American,M,,,,,,,Screenwriter,,,,"Topeka, KS"
A_01108,Everett,Percival L,,,,,,,,,1956,,American,M,,,,,Brown,,,,,,"Los Angeles, CA"
A_01109,Evslin,Bernard,,,,,,,,,1922,1993,American,M,,,,,,,,,,,"New Rochelle, NY"
A_01111,Ewell,M. L. B.,,,,,,,,,1841,1902,American,,,,,,,,,,,,"New Haven, CT"
A_01113,Exley,Frederick,,,,,,,,,1929,1992,American,M,Caucasian,,,,U of Southern CA,,,,,,"Watertown, NY; Greenwich, CT"
A_01114,Eyster,Warren,,,,,,,,,1925,,American,M,,,,,"Gettysburg Coll, U of VA",,,,,,"Steelton, PA"
A_01116,Fahs,Sophia Lyon,,,,,,,,,1876,1978,American,F,,,,,"Wooster Coll, Columbia, Union Theo Sem",,Minister,,Unitarian,,"China; Wooster, OH; New York, NY; Bethesda, MD"
A_01117,Fair,A. A.,,,,,,,,,1889,1970,American,M,Caucasian,,,,,,Lawyer,,,,"Malden, MA; Temecula, CA"
A_01118,Fair,Ronald L,,,,,,,,,1932,,American,M,Black,African-American,,,,,Sculptor,,Born-Again,,"Chicago, IL; Finland"
A_01122,Fante,John,,,,,,,,,1909,1983,American,M,Caucasian,,,,U of CO,,,Dirty Realism,,,"Denver, CO; Los Angeles, CA"
A_01123,Farber,Thomas,,,,,,,,,1944,,American,M,,,,,Harvard,,,,,,"Boston, MA; Berkeley, CA"
A_01124,Farina,Richard,,,,,,,,,1937,1966,American,M,Latino/a,Cuban-American,,,Cornell,,Songwriter,,,,"New York, NY"
A_01125,Farjeon,Eleanor,,,,,,,,,1881,1965,British,F,Caucasian,,,,,,,,Catholic,,"London, UK"
A_01126,Farley,Walter,,,,,,,,,1915,1989,American,M,,,,,Columbia,,,,,,"Syracuse, NY; PA; Venice, FL"
A_01128,Farmer,Philip Jose,,,,,,,,,,,American,M,Caucasian,,,,Bradley U,,Technical Writer,,,,"Terre Haute, IN; Peoria, IL"
A_01129,Farnol,Jeffery,,,,,,,,,1878,1952,British,M,Caucasian,,,,,,,,,,"Aston, Birmingham, England; Eastbourne, England"
A_01132,Farrell,James T.,,,,,,,,C,1904,1979,American,M,Caucasian,Irish-American,,,U of Chicago,,,,,,"Chicago, IL"
A_01133,Farrelly,Peter,,,,,,,,,1956,,American,M,Caucasian,,,,Providence Coll,Columbia,Director,,,,"Phoenixville, PA; Cumberland, RI"
A_01135,Farrington,Gene,,,,,,,,,,,American,M,Caucasian,,,,"CA State U, U of CA-Santa Barbara",,Professor,,,,ND; MD
A_01136,Farrington,Robert,,,,,,,,,1915,,American,,,,,,,,,,,,
A_01137,Farris,John,,,,,,,,,,,American,M,Caucasian,,,,Rhodes Coll,,,,,,"Jefferson City, MO; Memphis, TN; Atlanta, GA"
A_01139,Fast,Howard,,,,,,,,,1914,2003,American,M,Caucasian,Ukranian-American,2,,,,,,,,"New York, NY; Greenwich, CT"
A_01140,Faulkner,William,,,,,,,,C,1897,1962,American,M,Caucasian,,,,U of MS,,,Modernism,,,"Oxford, MS"
A_01141,Fauset,Jessie Redmon,,,,,,,,,1882,1961,American,F,Black,African-American,,,"Cornell, U of PA",,Editor,Harlem Renaissance,Methodist,,"Camden, NJ; Philadelphia, PA"
A_01142,Faust,Frederick Schiller,,Brand,Max,,,,,,1892,1943,American,M,Caucasian,,,,Berkeley,,,,,,"Seattle, WA; New York, NY; Hollywood, CA"
A_01143,Faust,Ron,,,,,,,,,1936,2011,American,M,Caucasian,,,,,,,,,,IL; WI
A_01145,Feist,Raymond E,,,,,,,,,1945,,American,M,Caucasian,,,,U of CA-San Diego,,,,,,"Los Angeles, CA"
A_01147,Felice,Cynthia,,,,,,,,,1942,,American,F,,,,,,,,,,,"Chicago, IL"
A_01148,Fennelly,Tony,,,,,,,,,,,American,F,,,,,U of New Orleans,,,,,,NJ
A_01149,Ferber,Edna,,,,,,,,,1885,1968,American,F,Caucasian,Hungarian-American,2,,Lawrence U,,,,Jewish,,"Kalamazoo, MI; Appleton, WI; New York, NY"
A_01150,Fergusson,Bruce,,,,,,,,,,,American,M,Caucasian,,,,,,,,,,"Bridgeport, CT; Edmonds, WA"
A_01151,Fergusson,Harvey,,,,,,,,,1890,1971,American,M,Caucasian,,,,Washington and Lee U,,,,,,"Albuquerque, NM; Washington, DC; Hollywood, CA; Berkeley, CA"
A_01159,Field,Roswell Martin,,,,,,,,,1851,1919,American,M,,,,,U of MO,,,,,,"St. Louis, MO; Morristown, NJ"
A_01160,Fields,Jeff,,,,,,,,,1938,,American,M,Caucasian,,,,UNC Chapel Hill,,TV and Radio,,,,"Toombs County, GA; Atlanta, GA"
A_01161,Finley,Martha,,,,,,,,,1828,1909,American,F,,,,,,,Teacher,,Presbyterian,,"Chillicothe, OH; Elkton, MD"
A_01163,Finney,Jack,,,,,,,,,1911,1995,American,M,Caucasian,,,,Knox Coll,,Advertising,,,,"Milwaukee, WI; New York, NY; Mill Valley, CA"
A_01164,Firbank,Ronald,Arthur Annesley Ronald,,,,,,,,1886,1926,British,M,Caucasian,,,Gay,Cambridge,,,,Catholic,,"London, UK"
A_01165,Firth,Violet Mary,,Fortune,Dion,,,,,,1890,1946,British,F,Caucasian,,,,,,Psychic,,Occult,,"Llanduno, Wales; Glastonbury, Somerset, UK"
A_01166,Fish,Robert L.,,,,,,,,,1912,1981,American,M,,,,,,,,,,,"Cleveland, OH; Trumbull, CT"
A_01167,Fisher,Dorothy Canfield,,,,,,,,,1879,1958,American,F,Caucasian,,,,"OH State U, Columbia",,Activist,,,,"Lawrence, KS; Paris, France; Arlington, VT"
A_01175,Fitch,Clyde,,,,,,,,,1865,1909,American,M,Caucasian,,,,Amherst Coll,,,,,,"Elmira, NY; New York, NY"
A_01176,Fitch,George,,,,,,,,,1877,1915,American,M,Caucasian,,,,,,,,,,"Galva, IL"
A_01179,Fitzgerald,Barbara,,,,,,,,,1911,1982,Irish,F,Caucasian,,,,Trinity Coll Dublin,,,,,,"Cork, Ireland; Dublin, Ireland"
A_01180,Fitzgerald,F. Scott,,,,,,,,C,1896,1940,American,M,Caucasian,,,,Princeton,,,Modernism,Catholic,,"St. Paul, MN; Buffalo, NY; Paris, France; Hollywood, CA"
A_01182,Fitzgerald,Zelda,,,,,,,,,1900,1948,American,F,Caucasian,,,,,,,Modernism,Episcopal,,"Montgomery, AL; Paris, France; Asheville, NC"
A_01184,Flagg,Fannie,,,,,,,,,1944,,American,F,Caucasian,,,,,,,,,,"Birmingham, AL; Los Angeles, CA"
A_01187,Flannery,Sean,,,,,,,,,1942,,American,M,,,,,"U of Maryland, U of Wisconsin, Madison",,Journalist,,Agnostic,,"Duluth, MN; Sarasota, FL"
A_01190,Fleming,Ian,,,,,,,,,1908,1964,British,M,Caucasian,,,,,,,,,,"London, UK"
A_01191,Fleming,May Agnes,,,,,,,,,1840,1880,American,F,,,,,,,,,,,"Carleton, New Brunswick, Canada; New York, NY"
A_01192,Fletcher,J. S.,Joseph Smith,,,,,,,,1863,1935,British,M,,,,,,,,,,,"Halifax, West Yorkshire, UK"
A_01194,Flint,Kenneth C,,,,,,,,,1947,,American,M,,,,,,,,,,,"Omaha, NE"
A_01195,Flint,Margaret,,,,,,,,,1891,1960,American,F,Caucasian,,,,,,,,,,"Orono, ME"
A_01196,Flora,Fletcher,,,,,,,,,1914,1969,American,M,,,,,U of KS,,,,,,
A_01197,Florey,Kitty Burns,,,,,,,,,,,American,F,Caucasian,,,,"Boston U, Syracuse U",,,,,,"Syracuse, NY"
A_01199,Flower,Jessie Graham,,,,,,,,,,1931,American,F,,,,,,,,,,,
A_01201,Flynn,Robert,,,,,,,,,1932,,American,M,,,,,,,,,,,"Chillicothe, TX"
A_01202,Flynn,Thomas Theodore,,,,,,,,,1902,,American,M,,,,,,,,,,,"Indianapolis, IN; NM"
A_01204,Follett,Ken,,,,,,,,,,,British,M,Caucasian,,,,U Coll London,,,,,,"Cardiff, Wales, UK; London, UK"
A_01206,Fontana,D. C,,,,,,,,,1939,,American,F,,,,,,,Screenwriter,,,,"Sussex, NJ"
A_01207,Foote,John Taintor,,,,,,,,,1881,1950,American,M,Caucasian,,,,,,Screenwriter,,,,"Leadville, CO; Los Angeles, CA"
A_01208,Foote,Mary Hallock,,,,,,,,,1847,1938,American,F,Caucasian,,,,,,,,Quaker,,"Milton, NY; San Jose, CA"
A_01209,Foote,Shelby,,,,,,,,,1916,2005,American,M,Caucasian,,,,,,Historian,,,,"Greenville, MS; Memphis, TN"
A_01210,Footner,Hulbert,,,,,,,,,1879,1944,American,M,,,,,,,,,,,"Hamilton, Ontario, Canada; New York, NY; Calgary, Alberta, Canada"
A_01214,Ford,Ford Madox,,,,,,,,,1873,1939,British,M,Caucasian,,,,,,,Modernism,,,"Merton, Surrey, UK; London, UK"
A_01216,Ford,John M,,,,,,,,,1957,2006,American,M,Caucasian,,,,IN U Bloomington,,,,,,"East Chicago, IN"
A_01218,Ford,Paul Leicester,,,,,,,,,1865,1902,American,M,Caucasian,,,,,,Biographer,,,,"New York, NY"
A_01219,Ford,Richard,,,,,,,,,1944,,American,M,Caucasian,,,,MI State U,U of CA-Irvine,,,,,"Jackson, MS; New Orleans, LA"
A_01220,Ford,Sewell,,,,,,,,,1868,1946,American,M,,,,,,,,,,,"South Levant, ME; Cheboygan, MI; New York, NY"
A_01221,Forester,C. S.,,,,,,,,,1899,1966,British,M,Caucasian,,,,,,,,,,"Cairo, Egypt; London, UK; Berkeley, CA"
A_01223,Forman,Justus Miles,,,,,,,,,1875,1915,American,M,Caucasian,,,,Yale,,,,,,"Le Roy, NY"
A_01225,Forsslund,Louise,,,,,,,,,1876,1910,American,M,,Swedish-American,2,,,,,,,,"Islip, NY; Long Island, NY"
A_01226,Forster,E. M.,,,,,,,,,1879,1970,British,M,Caucasian,,,Gay,Cambridge,,,Bloomsbury,,,"Marylebone, Middlesex, UK; London, UK"
A_01227,Forsyth,Frederick,,,,,,,,,1938,,British,M,Caucasian,,,,U of Granada,,,,,,"Ashford, Kent, UK"
A_01228,Forward,Robert L,,,,,,,,,1932,2002,American,M,Caucasian,,,,"UCLA, U of MD",,Physicist,,,,"Geneva, NY; Seattle, WA"
A_01230,Foster,Alan Dean,,,,,,,,,1946,,American,M,Caucasian,,,,UCLA,UCLA,,,,,"New York, NY; Prescott, AZ"
A_01232,Foster,James H,,,,,,,,,,,American,M,Caucasian,,,,Butler U,,,,,,"Indianapolis, IN"
A_01234,Fowles,John,,,,,,,,,1926,2005,British,M,Caucasian,,,,,,,,,,"Leigh-on-Sea, Essex, UK; Lyme Regis, Dorset, UK"
A_01235,Fox,John,,,,,,,,,1863,1919,American,M,Caucasian,,,,Harvard,,,,,,"Stony Point, KY; Big Stone Gap, VA"
A_01237,Fox,Paula,,,,,,,,,1923,,American,F,Caucasian,,,,Columbia,,,,,,"New York, NY"
A_01241,Frankel,Ernest,,,,,,,,,1923,,American,M,,,,,UNC Chapel Hill,,Screenwriter,,,,"New York City, NY; Los Angeles, CA"
A_01243,Franklin,Miles,Stella Maria Sarah Miles,,,,,,,,1879,1954,Australian,F,Caucasian,,,,,,Feminist,,,,"Talbingo, New South Wales, Australia; Chicago, IL; London, UK"
A_01244,Franzen,Jonathan,,,,,,,,,1959,,American,M,Caucasian,,,,Swarthmore Coll,,,,,,"Western Springs, IL; New York, NY; Boulder Creek, CA"
A_01245,Fraser,Ronald,,,,,,,,,1888,1974,British,M,Caucasian,,,,,,Diplomat,,,,"London, UK"
A_01246,Frederic,Harold,,,,,,,,,1856,1898,American,M,,,,,,,Journalist,,,,"Utica, NY; London, England"
A_01247,Freed,Donald,,,,,,,,,1932,,American,M,Caucasian,,,,,,,,Jewish,,"Chicago, IL; Alexandria, LA; Los Angeles, CA"
A_01248,Freedgood,Morton,,,,,,,,,1912,2006,American,M,Caucasian,,,,,,,,,,"New York, NY"
A_01249,Freedman,Benedict,,,,,,,,,1919,2012,American,M,,Romanian-American,2,,UCLA,,Mathematician,,,,"New York, NY; Corte Madera, CA"
A_01250,Freedman,Nancy Mars,,,,,,,,,1920,2010,American,F,,,,,,,,,,,"Evanston, IL; Greenbrae, CA"
A_01251,Freedman,Ralph,,,,,,,,,1920,,American,M,,German-American,1,,"U of WA, Brown, Yale",,,,Jewish,,"Hamburg, Germany;Seattle, WA; Decatur, GA"
A_01252,Freeley,Mary Belle,,,,,,,,,,,American,F,,,,,,,,,,,"Chicago, IL"
A_01253,Freeman,Cynthia,,,,,,,,,1915,1988,American,F,Caucasian,,,,,,,,Jewish,,"New York, NY; San Francisco, CA"
A_01254,Freeman,Mary Eleanor Wilkins,,,,,,,,C,1852,1930,American,F,Caucasian,,,,Mount Holyoke Coll,,,,,,"Randolph, MA; Metuchen, NJ"
A_01255,Freeman,R. Austin,Richard Austin,,,,,,,,1862,1943,British,M,,,,,,,Doctor,,,,"London, UK"
A_01258,French,Marilyn,,,,,,,,,1929,2009,American,F,,Polish-American,2,,,,,,,,"New York, NY"
A_01259,Friday,Nancy,,,,,,,,,1933,,American,F,Caucasian,,,,Wellesley Coll,,,,,,"Pittsburgh, PA; Charleston, SC; New York, NY"
A_01260,Friedman,Bruce Jay,,,,,,,,,1930,,American,M,,,,,U of MO,,,,,,"New York, NY"
A_01262,Friedman,Kinky,,,,,,,,,1944,,American,M,Caucasian,,,,U of TX,,Politician,,Jewish,,"Chicago, IL; Austin, TX"
A_01263,Friedman,Michael Jan,,,,,,,,,1955,,American,M,Caucasian,,,,,,,,,,"New York, NY"
A_01264,Friedman,Sanford,,,,,,,,,1928,2010,American,M,,,,,Carnegie Institute of Technology,,,,,,"New York, NY"
A_01266,Frommer,Sara Hoskinson,,,,,,,,,1938,,American,F,,,,,"Oberlin, Brown",,,,United Church of Christ,,"Chicago, IL; Bloomington, IN"
A_01269,Fruchey,Deborah,,,,,,,,,1959,,American,,,,,,,,,,,,"Walnut Creek, CA"
A_01271,Fuentes,Carlos,,,,,,,,,1928,2012,Mexican,M,Latino/a,,,,National Autonomous U of Mexico,,,,,,"Panama City, Panama; Mexico City, Mexico"
A_01274,Fuller,Anna,,,,,,,,,1853,1916,American,F,,,,,,,,,,,"Cambridge, MA; Boston, MA"
A_01277,Fuller,Henry Blake,,,,,,,,C,1857,1929,American,M,Caucasian,,,,,,,,,,"Chicago, IL"
A_01281,Furman,Lucy S,,,,,,,,,1870,1958,American,F,,,,,,,,,,,"Henderson, KY; Cranford, NJ"
A_01283,Futrelle,Jacques,,,,,,,,,1875,1912,American,M,,,,,,,,,,,
A_01284,Gaddis,William,,,,,,,,C,1922,1998,American,M,Caucasian,,,,Harvard,,Public Relations,Postmodernism,,,"New York, NY"
A_01285,Gaiman,Neil,,,,,,,,,1960,,American,M,Caucasian,,,,,,,,Jewish,,"Portchester, Hampshire, UK; Menomonie, WI; Cambridge, MA"
A_01287,Gaines,Ernest J.,,,,,,,,,1933,,American,M,Black,African-American,,,San Francisco State U,,,,,,"Pointe Coupee Parish, LA; Vallejo, CA; San Francisco, CA; Lafayette, LA"
A_01288,Galbraith,John Kenneth,,,,,,,,,1908,2006,American,M,Caucasian,Canadian-American,1,,"Ontario Agricultural Coll, Berkeley",,Politician,,,,"Iona Station, Ontario, Canada; Cambridge, MA"
A_01290,Gale,Zona,,,,,,,,,1874,1938,American,F,Caucasian,,,,U of WI-Madison,,,,,,"Portage, WI; New York, NY"
A_01292,Gallico,Paul,,,,,,,,,1897,1976,American,M,Caucasian,Italian-American,2,,Columbia,,,,,,"New York, NY"
A_01294,Galouye,Daniel F,,,,,,,,,1920,1976,American,M,,,,,LA State U,,,,,,"New Orleans, LA"
A_01295,Galsworthy,John,,,,,,,,,1867,1933,British,M,Caucasian,,,,Oxford,,,Edwardian,,,"Kingston upon Thames, Surrey, UK; London, UK"
A_01297,Gantz,Kenneth Franklin,,,,,,,,,1905,,American,M,,,,,,,Military,,,,
A_01300,Gardner,Erle Stanley,,,,,,,,,1889,1970,American,M,Caucasian,,,,,,Lawyer,,,,"Malden, MA; Palo Alto, CA; Temecula, CA"
A_01302,Gardner,John,,,,,,,,,1926,2007,British,M,Caucasian,,,,Cambridge,,,,,,"Seaton Delaval, Northumberland, UK; Basingstoke, Hampshire, UK"
A_01303,Gardner,John,,,,,,,,,1933,1982,American,M,Caucasian,,,,Washington U,U of IA,,,,,"Batavia, NY; Chico, CA; Carbondale, IL"
A_01305,Garfield,Brian,,,,,,,,,1939,,American,M,,,,,,,,,,,"New York, NY"
A_01306,Garland,Hamlin,,,,,,,,C,1860,1940,American,M,Caucasian,,,,,,,,,,"West Salem, WI; Boston, MA; Hollywood, CA"
A_01308,Garner,Hugh,,,,,,,,,1913,1979,Canadian,M,,,1,,,,Socialist,,,Working,"Batley, Yorkshire, UK; Toronto, Ontario, Canada"
A_01309,Garrett,Garet,,,,,,,,,1878,1954,American,M,,,,,,,,,,,"Pana, IL; Burlington, IA; Washington, DC; Tuckahoe, NJ"
A_01310,Garrett,George,,,,,,,,,1929,2008,American,M,,,,,Princeton,,Screenwriter,,,,"Orlando, FL; Charlottesvile, VA"
A_01311,Garrett,Randall,,,,,,,,,1927,1987,American,M,,,,,,,,,,,"Lexington, MO"
A_01314,Garro,Elena,,,,,,,,,1916,1998,Mexican,F,Latino/a,,,,National Autonomous U of Mexico,,,,,,"Puebla, Mexico; Mexico City, Mexico"
A_01317,Gash,Jonathan,,,,,,,,,1933,,British,M,Caucasian,,,,,,Biologist,,,,"Bolton, Lancashire, UK; London, UK"
A_01318,Gask,Arthur,,,,,,,,,1869,1951,Australian,M,,,1,,,,Doctor,,,,"London, UK; Adelaide, South Australia, Australia"
A_01322,Gault,William Campbell,,,,,,,,,1910,1995,American,M,,,,,,,,,,,
A_01323,Gear,W. Michael,,,,,,,,,1955,,American,M,,,,,CO State U,,Archaeology,,,,"Colorado Springs, CO"
A_01324,Gedge,Pauline,,,,,,,,,1945,,Canadian,F,,,,,U of Manitoba,,,,,,"Aukland, New Zealand; Edgerton, Alberta, Canada"
A_01326,Gee,Maurice,,,,,,,,,1931,,New Zealand,M,Caucasian,,,,U of Auckland,,,,,,"Whakatane, NZ; Henderson, NZ"
A_01328,Gellhorn,Martha,,,,,,,,,1908,1998,American,F,Caucasian,,,,Bryn Mawr Coll,,Journalist,,,,"St. Louis, MO"
A_01329,Gellis,Roberta,,,,,,,,,1927,,American,F,Caucasian,,,,,,,,,,
A_01331,George,Margaret,,,,,,,,,1943,,American,F,Caucasian,,,,"Tufts U, Stanford",,,,,,"Nashville, TN; Bethesda, MD; Madison, WI"
A_01332,Gerber,Merrill Joan,,,,,,,,,1938,,American,F,,,,,"U of FL, Brandeis U",,,,,,"New York, NY"
A_01334,Gerrold,David,,,,,,,,,1944,,American,M,Caucasian,,,,,,Screenwriter,,,,"Chicago, IL"
A_01337,Geston,Mark S,,,,,,,,,1946,,American,M,,,,,"Kenyon Coll, NYU Law",,,,,,"Atlantic City, NJ"
A_01338,Gibbons,Kaye,,,,,,,,,1960,,American,F,,,,,U of NC,,,,,,"Nash County, NC"
A_01340,Gibbons,Stella,,,,,,,,,1902,1989,British,F,Caucasian,,,,U Coll London,,,,,,"London, UK"
A_01342,Gibbs,George,,,,,,,,,1870,1942,American,M,Caucasian,,,,,,,,,,"New Orleans, LA; Washington, DC; Philadelphia, PA"
A_01343,Gibbs,Sally,,,,,,,,,,,American,F,,,,,Bryn Mawr Coll,,Actress,,,,"Philadelphia, PA"
A_01344,Gibran,Kahlil,,,,,,,,,1883,1931,American,M,Arab,Lebanese-American,1,,,,,,Maronite Catholic,,"Bsharri, Lebanon; Boston, MA; New York, NY"
A_01346,Gibson,William,,,,,,,,,1948,,American,M,Caucasian,Canadian-American,,,U of British Columbia,,,,,,"Conway, SC; AZ; Vancouver, BC, Canada"
A_01348,Gifford,Barry,,,,,,,,,1946,,American,M,Caucasian,Irish-American,,,,,Screenwriter,,Jewish,,"Chicago, IL; New Orleans, LA"
A_01350,Gifford,Thomas,,,,,,,,,1937,2000,American,M,Caucasian,,,,Harvard,,,,,,"Dubuque, IA; Minneapolis, MN; New York, NY"
A_01353,Gilchrist,Ellen,,,,,,,,,1935,,American,F,,,,,Millsaps Coll,U of AR,,,,,"Vicksburg, MS; Fayetteville, AR"
A_01354,Giles,Janice Holt,,,,,,,,,1905,1979,American,F,Caucasian,,,,,,,,,,"Altus, AR; Louisville, KY"
A_01356,Gill,Bartholomew,,,,,,,,,1943,2002,American,M,Caucasian,Irish-American,,,"Brown, Trinity College Dublin",,,,,,"Holyoke, MA; Morristown, NJ"
A_01361,Gilman,Dorothy,,,,,,,,,1923,2012,American,F,,,,,PA Academy of Fine Arts,,,,,,"New York, NY"
A_01368,Gissing,George,,,,,,,,,1857,1903,British,M,Caucasian,,,,U of Manchester,,,,,,"Wakefield, Yorkshire, UK; Chicago, IL; London, UK;"
A_01372,Glasgow,Ellen Anderson Gholson,,,,,,,,,1873,1945,American,F,Caucasian,,,,,,Suffragist,,,,"Richmond, VA"
A_01373,Glaspell,Susan,,,,,,,,,1876,1948,American,F,Caucasian,,,,"Drake U, U of Chicago",,,,,,"Davenport, IA;  New York, NY"
A_01374,Glass,Montague,,,,,,,,,1877,1934,American,M,,Anglo-American,1,,"City Coll of NY, NYU Law",,,,,,"Manchester, UK; New York, NY"
A_01375,Glasser,Ronald J,,,,,,,,,1940,,American,M,,,,,"U of Minnesota, Johns Hopkins",,Doctor,,,,MN
A_01376,Glenwood,Ida,,,,,,,,,1826,,American,F,Caucasian,,,,,,,,,,"Great Barrington, MA; Fenton, MI"
A_01377,Gloag,Julian,,,,,,,,,1930,,British,M,,,,,Cambridge,,Editor,,,,"London, England; Paris, France"
A_01378,Glut,Donald F,,,,,,,,,1944,,American,M,Caucasian,,,,,,Director,,,,"Pecos, TX; Los Angeles, CA"
A_01379,Glyn,Elinor,,,,,,,,,1864,1943,American,F,,,,,,,,,,,"Jersey, UK; Guelph, Ontario, Canada; London, UK"
A_01380,Goddard,Charles,,,,,,,,,1879,1951,American,,,,,,,,,,,,"Portland, ME"
A_01381,Goddard,Kenneth W.,Kenneth William,,,,,,,,1946,,American,M,,,,,"UC Riverside, California State U",,Criminalist,,,,"San Diego, CA; Oakton, VA"
A_01382,Goddard,Robert,,,,,,,,,1954,,British,M,Caucasian,,,,,,,,,,"Fareham, Hampshire, UK; Truro, Cornwall, UK"
A_01383,Godey,John,,,,,,,,,1912,2006,American,M,,,,,City Coll of NY,,Public Relations,,,,"New York, NY"
A_01388,Gold,Herbert,,,,,,,,,1924,,American,M,,,,,Columbia,,,,Jewish,,"Cleveland, OH; New York, NY; San Francisco, CA"
A_01390,Goldin,Stephen,,,,,,,,,1947,,American,M,Caucasian,,,,UCLA,,,,,,"Philadelphia, PA; Los Angeles, CA; San Francisco, CA"
A_01391,Golding,William,,,,,,,,C,1911,1993,British,M,Caucasian,,,,Oxford,,Teacher,,,,"Newquay, Cornwall, UK;Salisbury, Wiltshire, UK"
A_01392,Goldman,William,,,,,,,,,1931,,American,M,Caucasian,,,,"Oberlin Coll, Columbia",,,,Jewish,,"Chicago, IL; New York, NY"
A_01393,Goldreich,Gloria,,,,,,,,,,,American,F,Caucasian,,,,,,,,Jewish,,
A_01395,Goldsborough,Robert,,,,,,,,,1937,,American,M,,,,,Northwestern U,,Journalist,,,,"Chicago, IL"
A_01396,Goldstein,Lisa,,,,,,,,,1953,,American,F,,German-American,2,,,,,,,,"Los Angeles, CA; Oakland, CA"
A_01397,Goldstein,Rebecca,,,,,,,,,1950,,American,F,Caucasian,,,,"Barnard Coll, Princeton",,Philosopher,,Jewish,,"White Plains, NY"
A_01402,Goodwin,C. C.,,,,,,,,,1832,1917,American,M,,,,,,,Journalist,,,,"Riga, NY; Marysville, CA; Salt Lake City, UT"
A_01403,Goodwin,Maud Wilder,,,,,,,,,1856,1935,American,F,,,,,,,,,,,"Saratoga, NY"
A_01404,Gordimer,Nadine,,,,,,,,,1923,2014,South African,F,Caucasian,,,,,,,,Jewish,,"Springs, South Africa, Johannesburg, South Africa"
A_01406,Gordon,Caroline,,,,,,,,,1895,1981,American,F,,,,,,,,,,,KY; NC; NJ; NY
A_01407,Gordon,Fred Jay,,,,,,,,,,,American,M,,,,,Berkeley,,,,,,"New York, NY"
A_01409,Gordon,Mary,,,,,,,,,1949,,American,F,Caucasian,,,,Barnard Coll; Syracuse U,,,,Catholic,,"New York, NY"
A_01410,Gordon,Noah,,,,,,,,,1926,,American,M,Caucasian,,,,,,,,,,"Worcester, MA"
A_01411,Gorman,Edward,,,,,,,,,1941,,American,M,Caucasian,,,,,,,,,,
A_01413,Goss,Charles Frederic,,,,,,,,,1852,1930,American,M,Caucasian,,,,Hamilton Coll,,Minister,,Presbyterian,,"Meridian, NY; Cincinnati"
A_01415,Goudge,Eileen,,,,,,,,,1950,,American,F,,,,,"San Diego State U, California State Vocational",,Secretary,,Jewish,,"San Mateo, CA; New York City, NY"
A_01416,Goudge,Elizabeth,,,,,,,,,1900,1984,British,F,Caucasian,,,,U Coll Reading,,,,,,"Wells, UK; Devon, UK"
A_01417,Gould,Heywood,,,,,,,,,1942,,American,M,Caucasian,,,,,,,,,,"New York, NY"
A_01418,Gould,John A.,,,,,,,,,1944,,American,M,,,,,"Williams Coll, Indiana U",,Teacher,,,,"Miami, FL; Brewer, ME"
A_01419,Gould,Judith,,,,,,,,,1945,,American,M,Caucasian,,,,,,,,,,"New York, NY"
A_01420,Gover,Robert,,,,,,,,,1929,2015,American,M,Caucasian,,,,U of Pittsburgh,,,,,,"Philadelphia, PA; CA"
A_01421,Goyen,William,,,,,,,,,1915,1983,American,M,Caucasian,,,,Rice U,,,,,,"Trinity, TX; Los Angeles, CA"
A_01423,Grafton,Sue,,,,,,,,,1940,,American,F,Caucasian,,,,U of Louisville,,,,,,"Louisville, KY; Santa Barbara, CA"
A_01425,Graham,Gwethalyn,,,,,,,,,1913,1965,Canadian,F,,,,,Smith Coll,,,,,,"Toronto, Ontario, Canada"
A_01426,Graham,Heather,,,,,,,,,,,American,F,,,,,S. Florida U,,Actress,,,,"Dade County, FL; Coral Gables, FL"
A_01428,Graham,Mark,,,,,,,,,1950,,American,M,,,,,Colorado State U,,Company President,,,,"Denver, CO"
A_01429,Graham,Winston,,,,,,,,,1908,2003,British,M,,,,,,,,,,,"Manchester, UK"
A_01430,Grant,Charles L,,,,,,,,,1942,2006,American,M,Caucasian,,,,Trinity Coll-Hartford,,,,,,"Newark, NJ"
A_01432,Grant,Joan Marshall,,,,,,,,,1907,1989,British,F,,,,,,,,,Reincarnationist,,"London, UK"
A_01434,Grant,Robert,,,,,,,,,1852,1940,American,M,Caucasian,,,,Harvard,,,,,,"Boston, MA"
