AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00061,Alther,Lisa,,,,,,,,,1944,,American,F,,,,,Wellesley Coll,,,,,,"Kingsport, TN; Hinesburg, VT"
A_00062,Altsheler,Joseph A.,,,,,,,,,1862,1919,American,M,Caucasian,,,,,,Journalist,,,,"Three Springs, KY; New York, NY"
A_00063,Alverson,Charles E,,,,,,,,,1935,,American,M,,,,,"San Francisco State U, Columbia",,Editor,,,,"Los Angeles, CA; Cambridge, UK"
A_00064,Ambler,Eric,,,,,,,,,1909,1998,British,M,Caucasian,,,,City U London,,,,,,"London, UK"
A_00065,Amiel,Joseph,,,,,,,,,1937,,American,M,,,,,"Amherst Coll, Yale Law School",,Lawyer,,,,"New York, NY"
A_00066,Anaya,Rudolfo A,,,,,,,,,1937,,American,M,,,,,U of NM,,,Chicano,,,"Pastura, NM; Santa Rosa, NM; Albuquerque, NM"
A_00067,Anderson,Ada Woodruff,,,,,,,,,1860,,American,F,,,,,,,,,,,"San Francisco, CA"
A_00069,Anderson,Poul,,,,,,,,,1926,2001,American,M,,,,,U of MN,,,,,,"Bristol, PA; TX; Denmark; Orinda, CA"
A_00071,Anderson,Sherwood,,,,,,,,C,1876,1941,American,M,Caucasian,,,,IL Institute of Technology,,Business,Modernism,,,"Camden, OH; Cleveland, OH; Chicago, IL; New Orleans, LA; Troutdale, VA"
A_00072,Anderson,William C.,,,,,,,,,1920,2003,American,M,,,,,,,,,,,"La Junta, CO; Fairfield, CA"
A_00073,Andrews,Mary Raymond Shipman,,,,,,,,,,1936,American,F,,,,,,,,,,,
A_00075,Andrews,V. C.,Virginia C.,,,,,,,,,,American,F,Caucasian,,,,,,,,,,"Portsmouth, VA; Virginia Beach, VA"
A_00076,Angley,Ernest,,,,,,,,,1922,,American,M,,,,,,,Evangelist,,Pentecostal,,"Gastonia, NC; Cuyahoga Falls, OH"
A_00077,Anthony,Piers,,,,,,,,,1934,,American,M,,Anglo-American,1,,Goddard Coll,,,,,,"Oxford, UK; St. Petersburg, FL"
A_00078,Appel,Allen,,,,,,,,,1945,,American,M,,,,,WV U,,,,,,"Bethlehem, PA; Parkersburg, WV; Washington, DC"
A_00079,Appel,Benjamin,,,,,,,,,1907,1977,American,M,,,,,,,,,,,"New York, NY; Roosevelt, NJ"
A_00080,Archer,Jeffrey,,,,,,,,,1940,,British,M,,,,,Oxford,,Politician,,,,"London, UK"
