"ID","Category","Language","Genre","Genre2","Pubdate","Author_Last","Author_First","Work_Title","Translation","PubHouse","Prize","WinnerShortlist","Author_Gender","Author_Nationality","token_count","total_characters","protagonist_concentration","avg_sentence_length","avg_word_length","tuldava_score","event_count","speed_avg","circuitousness","speed_min","volume","goodreads_avg","total_ratings","goodreads_URL","Probability1P"
"2016_Flanery_Patrick_IAmNoOne_CT.txt","FIC","English","NYT","",2016,"Flanery","Patrick","IAmNoOne","","RandomHouseCa","","","M","",128279,28,0.1452031115,27.9231606443,4.2566683937,4.6657329953,3579,-2.3288,0.21958,-2.5484,-3.0675,2.86,1295,"https://www.goodreads.com/search?q=Patrick+Flanery+I+Am+No+One",1
"2016_Fluke,Joanne_ChristmasCaramelMurder_BS.txt","FIC","English","BS","",2016,"Fluke","Joanne","ChristmasCaramelMurder","","Kensington","","","F","",53285,33,0.267268623,13.3848279327,4.0905208833,3.2359178459,2104,-1.9451,0.42354,-2.3687,-2.7669,3.52,8268,"https://www.goodreads.com/search?q=Joanne+Fluke+Christmas+Caramel+Murder",0
"2016_Foer,JonathanSafran_HereIAm_BS.txt","FIC","English","BS","NYT",2016,"Foer","JonathanSafran","HereIAm","","Farrar,Straus&Giroux","","","M","",219531,46,0.2554130755,14.222013475,4.1915732969,3.3753122293,6764,-2.1123,0.31017,-2.4225,-3.0424,3.95,254155,"https://www.goodreads.com/search?q=+Here+I+Am",1
"2016_Fox,Richard_TheXarosReckoning_SF.txt","FIC","English","SF","",2016,"Fox","Richard","TheXarosReckoning","","TriplanePress","","","M","",72308,54,0.1612903226,13.640445199,4.3025414878,3.5040760882,4766,-2.189,0.24056,-2.4295,-2.8816,4.44,1221,"https://www.goodreads.com/search?q=Richard+Fox+The+Xaros+Reckoning",0
"2016_Frankopan,Peter_TheSilkRoads_HIST.txt","NON","English","HIST","",2016,"Frankopan","Peter","TheSilkRoads:ANewHistoryoftheWorld","","Knopf","","","M","",235903,105,0.0437430786,36.242587187,4.8631135713,5.767512237,3129,-2.3905,0.094581,-2.4851,-3.1035,4.15,30275,"https://www.goodreads.com/search?q=+The+Silk+Roads:+A+New+Historyofthe+World",0
"2016_French,Tana_TheTrespasser_BS.txt","FIC","English","BS","",2016,"French","Tana","TheTrespasser:ANovel","","Viking","","","F","",230651,50,0.1898272553,14.7277313071,3.9172312802,3.1936881514,9606,-2.4264,0.18788,-2.6143,-3.2546,3.85,401,"https://www.goodreads.com/search?q=+The+Trespasser:+A+Novel",1
"2016_Furst,Alan_AHeroOfFrance_CT.txt","FIC","English","NYT","",2016,"Furst","Alan","AHeroofFrance","","RandomHouse","","","M","",94919,53,0.3338054769,19.5025683172,4.2120069191,3.8833102101,5345,-2.2379,0.25363,-2.4915,-2.9449,3.71,5499,"https://www.goodreads.com/search?q=+A+Heroof+France",0
"2016_Garvin,Jeff_SymptomsOfBeingHuman_YA.txt","FIC","English","YA","",2016,"Garvin","Jeff","SymptomsOfBeingHuman","","","","","M","",104412,26,0.2606060606,13.4378378378,3.9321864725,3.0608046734,6828,-2.3196,0.20148,-2.5211,-3.0008,4.14,16505,"https://www.goodreads.com/search?q=Jeff+Garvin+Symptoms+Of+Being+Human",1
"2016_Geni,Abby_TheLightkeepers_CT.txt","FIC","English","NYT","",2016,"Geni","Abby","TheLightkeepers","","Counterpoint","","","F","",97430,18,0.3554572271,12.314206269,4.2606345246,3.3452570598,5383,-2.3043,0.21328,-2.5176,-2.9706,3.85,4982,"https://www.goodreads.com/search?q=Abby+Geni+The+Lightkeepers",1
"2016_Gentry,Amy_GoodAsGone_CT.txt","FIC","English","NYT","",2016,"Gentry","Amy","GoodasGone","","HoutonMifflinHarcourt","","","F","",92948,36,0.2056289489,17.0609397944,4.0708980936,3.6034823501,4953,-2.0859,0.32965,-2.4155,-2.8919,3.48,34892,"https://www.goodreads.com/search?q=+Goodas+Gone",1
"2016_Gephart,Donna_LilyandDunkin_MG.txt","FIC","English","MID","",2016,"Gephart","Donna","LilyandDunkin","","","","","F","",94839,32,0.2003752345,11.9444584383,3.8639822815,2.8374971293,4952,-2.4119,0.12717,-2.5391,-2.9706,4.25,7312,"https://www.goodreads.com/search?q=+Lilyand+Dunkin",1
"2016_Glynn,Alan_Paradime_CT.txt","FIC","English","NYT","",2016,"Glynn","Alan","Paradime","","Picador","","","M","",110786,55,0.1098288898,20.5463649852,4.0895530311,3.8911097866,5484,-2.4138,0.15439,-2.5682,-3.0123,3.41,470,"https://www.goodreads.com/search?q=Alan+Glynn+Paradime",1
"2016_Goldberg,Paul_TheYid_CT.txt","FIC","English","NYT","",2016,"Goldberg","Paul","TheYid","","MacmillanCA","","","M","",95263,60,0.1701984527,14.2035187118,4.5133428502,3.7185042227,2741,-2.1758,0.19462,-2.3704,-2.8327,3.5,804,"https://www.goodreads.com/search?q=Paul+Goldberg+The+Yid",0
"2016_Golden,Alison_Stolen_MY.txt","FIC","English","MY","",2016,"Golden","Alison","Stolen","","","","","F","",49564,20,0.3111413043,11.8065745593,4.155573316,3.145701372,2907,-2.3691,0.14009,-2.5092,-2.88,4.02,553,"https://www.goodreads.com/search?q=Alison+Golden+Stolen",0
"2016_Goodwyn,Miles_JustBetweenYouandMe_ME.txt","NON","English","MEM","",2016,"Goodwyn","Myles","JustBetweenYouandMe","","","","","M","",126309,85,0.0887507066,18.4338879159,4.0868374518,3.8391180298,3234,-2.2677,0.18881,-2.4565,-2.9552,4.3,1901,"https://www.goodreads.com/search?q=+Just+Between+Youand+Me",1
"2016_Grabenstein,Chris_MrLemoncellosLibraryOlympics_MG.txt","FIC","English","MID","",2016,"Grabenstein","Chris","MrLemoncellosLibraryOlympics","","","","","M","",60200,33,0.1367303609,12.6417471651,4.4285989058,3.3363582907,2662,-2.1992,0.17453,-2.3737,-2.7829,4.21,12393,"https://www.goodreads.com/search?q=Chris+Grabenstein+Mr+Lemoncellos+Library+Olympics",0
"2016_Grace,Celina_MurderatMerishamLodge_MY.txt","FIC","English","MY","",2016,"Grace","Celina","MurderatMerishamLodge","","","","","F","",67833,29,0.329043089,13.9689044481,4.0594335435,3.300766005,4701,-2.4365,0.18963,-2.6262,-3.0297,3.86,2862,"https://www.goodreads.com/search?q=+Murderat+Merisham+Lodge",1
"2016_Grace,LauraJane_Tranny_ME.txt","NON","English","MEM","",2016,"Grace","LauraJane","Tranny","","","","","F","",89724,37,0.181568088,17.5688271001,4.08924041,3.7378969313,3225,-2.3656,0.16911,-2.5348,-2.9717,4.3,7762,"https://www.goodreads.com/search?q=+Tranny",1
"2016_Gray,Charlotte_ThePromiseofCanada_HIST.txt","NON","English","HIST","",2016,"Gray","Charlotte","ThePromiseofCanada:150Years--PeopleandIdeasthatHaveShapedOurCountry","","Simon&Schuster","","","F","",123101,87,0.0798146241,23.8244629379,4.9143547571,5.0652307073,1541,-2.2579,0.12239,-2.3802,-2.8594,4.19,360,"https://www.goodreads.com/search?q=+The+Promiseof+Canada:150+Years--+Peopleand+Ideasthat+Have+Shaped+Our+Country",0
"2016_Greaney,Mark_TomClancyTrueFaithandAllegiance_MY.txt","FIC","English","MY","",2016,"Greaney","Mark","TomClancyTrueFaithandAllegaince","","","","","M","",217906,110,0.1964819701,18.104519774,4.2633334943,3.9451724179,9587,-2.081,0.32684,-2.4078,-3.0679,4.34,8825,"https://www.goodreads.com/search?q=+Tom+Clancy+True+Faithand+Allegaince",0
"2016_Greenwell,Garth_WhatBelongsToYou_CT.txt","FIC","English","NYT","",2016,"Greenwell","Garth","WhatBelongstoYou","","MacmillanCA","","","M","",74203,5,0.6560693642,38.2884416925,4.0584593277,4.8117740549,5017,-2.3269,0.21043,-2.5374,-2.9863,3.78,11817,"https://www.goodreads.com/search?q=+What+Belongsto+You",1
"2016_Griffin,Matthew_Hide_CT.txt","FIC","English","NYT","",2016,"Griffin","Matthew","Hide","","Bloomsbury","","","M","",100447,10,0.5969387755,18.5909679808,4.0120201902,3.6171158794,5290,-2.2516,0.23574,-2.4873,-2.9691,3.72,937,"https://www.goodreads.com/search?q=Matthew+Griffin+Hide",1
"2016_Grisham,John_TheWhistler_BS.txt","FIC","English","BS","NYT",2016,"Grisham","John","TheWhistler","","","","","M","",133599,70,0.1563994374,14.5405964301,4.2284769996,3.5662779759,5894,-2.2094,0.27501,-2.4844,-3.0016,3.92,105233,"https://www.goodreads.com/search?q=John+Grisham+The+Whistler",0
